,name,mean,std,cat,mean_norm,std_norm,slope
0,Abigail ROBINSON.csv,1.0,0.0,WOMEN B3,0.13085317460317458,0.03946752975611535,-2.038506033344609e-19
1,Albert GUARDIA FERRER.csv,3.5,1.9478494929174643,MEN AL2,0.34456754665087996,0.2247790798950237,-6.744271925822602e-19
2,Alessandro NERI.csv,3.6666666666666665,2.3380903889000244,MEN RP3,0.3569534632034632,0.16794549210596846,1.9316241169600607e-19
3,Alessia REFOLO.csv,1.3333333333333333,0.5163977794943223,WOMEN VISUAL IMPAIRMENT B1,0.49722222222222223,0.30375733492134555,7.3698109539759e-18
4,Alessio CORNAMUSINI.csv,3.1904761904761907,2.5420276870846163,MEN RP2,0.480663642775444,0.2601805483195327,-7.934417906442761e-20
5,Alexander DORNBUSCH.csv,6.2,1.9235384061671346,MEN RP1,0.6080882352941177,0.16788553729615302,-5.601870050568831e-18
6,Amruta WYSSMANN.csv,5.666666666666667,1.3662601021279464,WOMEN AU2,0.913095238095238,0.1895438491439364,3.250515067317952e-18
7,Andrea SÁNCHEZ APARICIO.csv,4.714285714285714,1.1126972805283737,WOMEN RP1,0.6563492063492065,0.26744540174759374,-9.171431729625166e-18
8,Andreas BAND.csv,5.5,4.764451699828638,MEN AU-2 (FOREARM AMPUTEE),0.9189814814814815,0.10108083592326739,-2.7192725033064182e-18
9,Andrej HARŠÁNY.csv,5.833333333333333,3.4302575219167832,MEN RP3,0.5865891053391054,0.15146149489261468,-2.2369981426232505e-18
10,András SZIJÁRTÓ.csv,2.2,1.3984117975602022,MEN RP2,0.3259627329192547,0.17809874862069375,1.0598836536591712e-19
11,Angela FALLEGGER.csv,6.4,1.6733200530681511,WOMEN RP1,0.7933333333333332,0.21653842358548953,-2.9364069483908873e-18
12,Angelino ZELLER.csv,1.75,2.3011854652449344,MEN RP1,0.1905348124098124,0.14932644192783032,-1.921232968580685e-18
13,Angelo Sebastian SIMIONESCU.csv,4.5,1.224744871391589,MEN B1,0.8027777777777777,0.16747028481583323,5.2999567423388936e-18
14,Anita AGGARWAL.csv,3.4285714285714284,1.2724180205607034,WOMEN RP3,0.34597505668934236,0.11733164261059653,3.9353957995807424e-19
15,Bastien THOMAS.csv,3.4,3.306559138036598,MEN RP3,0.37730269730269733,0.2543860247799759,-7.592559328414585e-19
16,Behnam KHALAJI.csv,3.125,2.4748737341529163,MEN RP3,0.3247429653679653,0.24505183349757423,7.199671802150147e-19
17,Benjamin MAYFORTH.csv,3.4,2.7568097504180447,MEN RP2,0.3126862026862027,0.23114693281412294,-1.4308693341674511e-18
18,Bill CASSON.csv,6.4,1.51657508881031,MEN B1,0.8683982683982684,0.1396263288327238,1.1000101917458041e-18
19,Bostian HALAS.csv,6.636363636363637,2.618118686107537,MEN RP2,0.6760981442799624,0.212758431243119,-1.581930346918434e-18
20,Brayden BUTLER.csv,4.8,1.3038404810405297,MEN RP2,0.41438339438339433,0.13827843949035054,-5.570128638786847e-18
21,Brian ZARZUELA.csv,2.7142857142857144,2.4299715851758235,MEN AU2,0.27471655328798184,0.12891425696755923,-2.805257696352683e-18
22,Christiane LUTTIKHUIZEN.csv,2.142857142857143,1.0690449676496976,WOMEN RP3,0.1973661259375545,0.059875467168743375,-4.367905103390101e-19
23,Corinna WIMMER.csv,5.777777777777778,1.481365736219265,WOMEN AU2,0.9531746031746032,0.20646783830410065,-2.733843310072361e-18
24,Cosmin Florin CANDOI.csv,1.0,0.0,MEN B3,0.17767094017094018,0.06127536265721022,1.9136502302018882e-19
25,Daniel BAR DAVID.csv,4.375,2.326094212561969,MEN RP3,0.5835182178932179,0.23573615580159643,6.443545390975588e-19
26,Daniel KONTSCH.csv,6.125,3.440826312717007,MEN RP1,0.6504193722943722,0.18974118213915825,-7.21978234224832e-19
27,Daniel WIENER.csv,7.222222222222222,1.5634719199411433,MEN RP2,0.6257002257002258,0.22714790433912063,-2.5695332626758404e-18
28,Dave BOWES.csv,3.9166666666666665,1.5050420310248864,MEN RP3,0.5935470779220778,0.17540187518922526,-6.221298127910432e-19
29,Dina EIVIK.csv,3.5714285714285716,2.5727509827124,WOMEN RP2,0.45787545787545786,0.24632564848062824,-8.128925854920966e-18
30,Doris ROHNER.csv,5.6,0.8944271909999159,WOMEN RP1,0.5861111111111111,0.06394924685122964,-1.6570632902947955e-18
31,Edith SCHEINECKER.csv,2.75,1.6025547785276542,WOMEN B3,0.3677248677248677,0.19759349885363775,-1.6616922925425101e-18
32,Elisa MARTIN.csv,5.875,1.9594095320493148,WOMEN RP3,0.5705891330891331,0.08086042970885103,2.179214006512303e-18
33,Elodie ORBAEN.csv,1.3333333333333333,0.7071067811865476,WOMEN RP3,0.37583774250440916,0.27616599026855926,1.7789262363134953e-19
34,Eloi VILA CULLERÉS.csv,8.571428571428571,4.503966505838413,MEN RP1,0.8238540870893811,0.14616019102498296,-1.4607718452371216e-18
35,Emily MCDERMOTT.csv,6.333333333333333,2.422120283277993,WOMEN RP3,0.6217439967439967,0.11727626418194893,1.1518109397827359e-18
36,Esme HARTE.csv,1.6666666666666667,1.0327955589886446,WOMEN AL-2,0.8666666666666667,0.2065591117977289,-3.4894131145471925e-18
37,Eva MOL.csv,3.4285714285714284,2.5071326821120348,WOMEN RP1,0.3871031746031746,0.1353833394072744,-2.3753854564485493e-18
38,Fedde BENEDICTUS.csv,6.6,3.5777087639996634,MEN RP1,0.836190476190476,0.15698404673630126,3.0670675682288633e-19
39,Florian SINGER.csv,6.6,4.3256341860022225,MEN RP2,0.6385680985680985,0.2800867003113802,1.6436301384734309e-18
