,event,rank,para_class,date,name,age,country,age_at_event
0,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,28,JUNIORS FEMALE,2023-09-16,Aada ASUNTA,19,FIN,19
1,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",30,JUNIORS FEMALE,2023-07-02,Aada ASUNTA,19,FIN,19
2,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",33,YOUTH A FEMALE,2021-06-13,Aada ASUNTA,19,FIN,17
3,"IFSC Pan Am - Continental Championships (B,S,L) - Ibarra (ECU) 2021",14,MEN,2021-12-06,Aaron PEÑARANDA,22,ECU,20
4,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",83,MEN,2021-09-21,Aaron PEÑARANDA,22,ECU,20
5,"PanAmerican Youth Championships (L, S, B) - Ibarra (ECU) 2019",2,JUNIORS MALE,2019-12-08,Aaron PEÑARANDA,22,ECU,18
6,IFSC Youth World Championships - Arco (ITA) 2019,51,JUNIORS MALE,2019-08-31,Aaron PEÑARANDA,22,ECU,18
7,"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",4,MEN,2018-11-26,Aaron PEÑARANDA,22,ECU,17
8,IFSC Youth World Championships - Innsbruck (AUT) - 2017,81,YOUTH A MALE,2017-09-10,Aaron PEÑARANDA,22,ECU,16
9,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,38,YOUTH A MALE,2023-06-18,Aaron RANTANEN,16,FIN,16
10,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",35,YOUTH B MALE,2022-09-01,Aaron RANTANEN,16,FIN,15
11,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",36,YOUTH B MALE,2022-05-29,Aaron RANTANEN,16,FIN,15
12,Asian Continental Championship - Ningbo (CHN) 2015,25,MEN,2015-11-24,Aaron TAN,33,SGP,25
13,UIAA Worldcup - Birmingham 1995,52,MEN,1995-11-25,Aaron TONKS,51,GBR,23
14,IFSC Youth World Championships - Arco (ITA) 2019,67,YOUTH B FEMALE,2019-08-31,Abby GEBERT,19,NZL,15
15,IFSC Youth World Championships - Moscow (RUS) 2018,55,YOUTH B FEMALE,2018-08-16,Abby GEBERT,19,NZL,14
16,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",52,WOMEN,2021-07-03,Abdul Rochman SYARIFAH,30,INA,28
17,Asian Continental Championships - Tehran (IRI) 2017,5,WOMEN,2017-09-21,Abdul Rochman SYARIFAH,30,INA,24
18,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,51,WOMEN,2017-07-13,Abdul Rochman SYARIFAH,30,INA,24
19,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",41,WOMEN,2017-07-08,Abdul Rochman SYARIFAH,30,INA,24
20,22th Asian Continental Championship - Lombok (INA) 2014,5,WOMEN,2014-10-03,Abdul Rochman SYARIFAH,30,INA,21
21,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",25,WOMEN,2014-06-22,Abdul Rochman SYARIFAH,30,INA,21
22,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",26,WOMEN,2012-10-21,Abdul Rochman SYARIFAH,30,INA,19
23,"IFSC Climbing Worldcup (L,S) - Changzhi (CHN) 2011",18,WOMEN,2011-09-08,Abdul Rochman SYARIFAH,30,INA,18
24,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",19,WOMEN,2011-09-03,Abdul Rochman SYARIFAH,30,INA,18
25,Asian Youth Championship - Singapore (SGP) 2011,1,JUNIORS FEMALE,2011-07-30,Abdul Rochman SYARIFAH,30,INA,18
26,Asian Championships - Kurayoshi (JPN) 2018,34,MEN,2018-11-11,Abhishek MEHTA,29,IND,24
27,"Oceania Continental Championships &amp; Oceania Youth Championships (L,S,B) - Noumea (FRA) 2017",18,YOUTH B FEMALE,2017-10-15,Abi STRINGER,20,AUS,14
28,"IFSC Asia - Continental Youth Championships (B, S, L, B&amp;L) - Chongqing (CHN) 2023",17,YOUTH B FEMALE,2023-10-22,Abigail Christiane ARUNGAYAN,14,PHI,14
29,IFSC Paraclimbing World Championships Bern 2023,1,WOMEN B2,2023-08-10,Abigail ROBINSON,25,GBR,25
30,IFSC Paraclimbing World Cup Villars 2023,1,WOMEN B3,2023-06-24,Abigail ROBINSON,25,GBR,25
31,IFSC Paraclimbing World Cup Innsbruck 2023,1,WOMEN B3,2023-06-13,Abigail ROBINSON,25,GBR,25
32,IFSC - Paraclimbing World Cup (L) - Villars (SUI) 2022,1,WOMEN B2,2022-07-09,Abigail ROBINSON,25,GBR,24
33,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2022,1,WOMEN B3,2022-06-22,Abigail ROBINSON,25,GBR,24
34,IFSC - Paraclimbing World Championships (L) - Moscow 2021,1,WOMEN B2,2021-09-17,Abigail ROBINSON,25,GBR,23
35,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,1,WOMEN B2,2019-07-17,Abigail ROBINSON,25,GBR,21
36,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,1,WOMEN B2,2018-09-16,Abigail ROBINSON,25,GBR,20
37,Paraclimbing Cup (L) - Briançon (FRA) 2018,1,WOMEN B2,2018-07-18,Abigail ROBINSON,25,GBR,20
38,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",33,YOUTH A FEMALE,2021-08-31,Abigail RUANO,18,ECU,16
39,IFSC World Youth Championships - Guangzhou (CHN) - 2016,53,YOUTH B FEMALE,2016-11-13,Abigail STRANGE,22,RSA,15
40,Asian Continental Championships - Tehran (IRI) 2017,25,MEN,2017-09-21,Abolfazl HASSANPOUR,25,IRI,19
41,Asian Youth Championship - Tehran (IRI) 2016,7,JUNIORS MALE,2016-09-30,Abolfazl HASSANPOUR,25,IRI,18
42,Asian Youth Championship - Putrajaya (MAS) 2015,8,YOUTH A MALE,2015-12-06,Abolfazl HASSANPOUR,25,IRI,17
43,IFSC World Youth Championship - Singapore (SIN) - 2012,38,YOUTH B MALE,2012-09-01,Abolfazl HASSANPOUR,25,IRI,14
44,Asian Youth Championship - Hamedan (IRI) 2012,6,YOUTH B MALE,2012-07-13,Abolfazl HASSANPOUR,25,IRI,14
45,Asian Youth Championships - Singapore (SGP) 2017,21,JUNIORS FEMALE,2017-07-09,Abu Talib SITI SHABIRAH,24,SGP,18
46,IFSC World Youth Championships - Arco (ITA) - 2015,42,YOUTH B MALE,2015-09-06,Achmad TEGAR,23,INA,15
47,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,12,YOUTH A FEMALE,2023-09-16,Ada KARLSBRUN,16,ISR,16
48,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",19,YOUTH A FEMALE,2023-07-02,Ada KARLSBRUN,16,ISR,16
49,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,11,YOUTH A FEMALE,2023-06-25,Ada KARLSBRUN,16,ISR,16
50,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",30,YOUTH B FEMALE,2022-07-10,Ada KARLSBRUN,16,ISR,15
51,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,25,YOUTH B FEMALE,2022-06-26,Ada KARLSBRUN,16,ISR,15
52,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",18,YOUTH B FEMALE,2021-07-04,Ada KARLSBRUN,16,ISR,14
53,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19,YOUTH B FEMALE,2021-05-05,Ada KARLSBRUN,16,ISR,14
54,"IFSC Europe - Continental Youth Cup (L,S) - Zilina (SVK) 2021",6,YOUTH A MALE,2021-07-31,Adam ADAMOVSKY,18,CZE,16
55,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),12,YOUTH A MALE,2021-06-20,Adam ADAMOVSKY,18,CZE,16
56,"European Youth Championships (L,S) - Voronezh (RUS) 2019",18,YOUTH B MALE,2019-10-20,Adam ADAMOVSKY,18,CZE,14
57,IFSC Youth World Championships - Arco (ITA) 2019,16,YOUTH B MALE,2019-08-31,Adam ADAMOVSKY,18,CZE,14
58,"European Youth Cup (S,L) - Imst (AUT) 2019",3,YOUTH B MALE,2019-08-04,Adam ADAMOVSKY,18,CZE,14
59,European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,21,YOUTH B MALE,2019-06-30,Adam ADAMOVSKY,18,CZE,14
60,European Youth Cup (L) - Ostermundigen (SUI) 2019,5,YOUTH B MALE,2019-06-23,Adam ADAMOVSKY,18,CZE,14
61,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",39,YOUTH A MALE,2022-09-01,Adam EDWARDS,17,CAN,16
62,IFSC Europe - Continental Youth Cup (L) - Dornbirn (AUT) 2022,29,YOUTH B MALE,2022-07-03,Adam ENDRLE,16,CZE,15
63,UIAA World Championship - Birmingham (GBR) 1999,41,MEN,1999-12-03,Adam HOCKING,42,GBR,18
64,EuropeanYouth Cup - Amsterdam (NED) 1999,12,JUNIORS MALE,1999-11-27,Adam HOCKING,42,GBR,18
65,European Youth Cup - Albertville (FRA) 1999,16,JUNIORS MALE,1999-10-16,Adam HOCKING,42,GBR,18
66,UIAA Youth Worldchampionship - Courmayeur (ITA) 1999,35,JUNIORS MALE,1999-09-03,Adam HOCKING,42,GBR,18
67,European Youth Cup - Bern (SUI) 1999,24,JUNIORS MALE,1999-08-14,Adam HOCKING,42,GBR,18
68,UIAA Worldcup - Wiener Neustadt (AUT) 1999,56,MEN,1999-04-16,Adam HOCKING,42,GBR,18
69,European Youth Cup - Aix en Provence (FRA) 1998,7,YOUTH A MALE,1998-10-31,Adam HOCKING,42,GBR,17
70,European Youth Cup - Dortmund (GER) 1998,14,YOUTH A MALE,1998-06-12,Adam HOCKING,42,GBR,17
71,UIAA Youth Worldchampionship - Imst (AUT) 1997,28,YOUTH A MALE,1997-11-14,Adam HOCKING,42,GBR,16
72,European Youth Cup - Parma (ITA) 1997,15,YOUTH A MALE,1997-09-21,Adam HOCKING,42,GBR,16
73,European Youth Cup - Bern (SUI) 1997,20,YOUTH A MALE,1997-08-24,Adam HOCKING,42,GBR,16
74,UIAA Worldcup - Wiener Neustadt (AUT) 1999,33,MEN,1999-04-16,Adam LIANA,45,POL,21
75,UIAA Worldcup - Kranj (SLO) 1998,46,MEN,1998-11-14,Adam LIANA,45,POL,20
76,UIAA Worldcup - Milan (ITA) 1998,41,MEN,1998-10-09,Adam LIANA,45,POL,20
77,UIAA European Championship - Nürnberg (GER) 1998,46,MEN,1998-04-03,Adam LIANA,45,POL,20
78,UIAA Worldcup - Imst 1997,25,MEN,1997-11-22,Adam LIANA,45,POL,19
79,UIAA Youth Worldchampionship - Imst (AUT) 1997,13,JUNIORS MALE,1997-11-14,Adam LIANA,45,POL,19
80,UIAA Worldcup - Kranj 1997,37,MEN,1997-11-09,Adam LIANA,45,POL,19
81,UIAA World Championchip - Paris 1997,66,MEN,1997-02-01,Adam LIANA,45,POL,19
82,UIAA Worldcup - Kranj 1996,49,MEN,1996-11-24,Adam LIANA,45,POL,18
83,IFSC World Championships Bern 2023,8,MEN,2023-08-12,Adam ONDRA,30,CZE,30
84,IFSC World Cup Villars 2023,2,MEN,2023-07-02,Adam ONDRA,30,CZE,30
85,"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",1,MEN,2022-08-18,Adam ONDRA,30,CZE,29
86,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1,MEN,2022-07-10,Adam ONDRA,30,CZE,29
87,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",8,MEN,2021-06-26,Adam ONDRA,30,CZE,28
88,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,1,MEN,2020-08-22,Adam ONDRA,30,CZE,27
89,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",1,MEN,2019-10-20,Adam ONDRA,30,CZE,26
90,"European Championship (L,S) - Edinburgh (GBR) 2019",1,MEN,2019-10-06,Adam ONDRA,30,CZE,26
91,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,1,MEN,2019-09-29,Adam ONDRA,30,CZE,26
92,IFSC Climbing World Championships - Hachioji (JPN) 2019,1,MEN,2019-08-21,Adam ONDRA,30,CZE,26
93,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",1,MEN,2019-07-13,Adam ONDRA,30,CZE,26
94,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2,MEN,2018-09-16,Adam ONDRA,30,CZE,25
95,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",4,MEN,2018-07-28,Adam ONDRA,30,CZE,25
96,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2,MEN,2017-08-26,Adam ONDRA,30,CZE,24
97,"European Championship (L,S) - Campitello di Fassa (ITA) 2017",2,MEN,2017-07-01,Adam ONDRA,30,CZE,24
98,IFSC Climbing World Championships - Paris (FRA) 2016,1,MEN,2016-09-18,Adam ONDRA,30,CZE,23
99,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",5,MEN,2016-08-27,Adam ONDRA,30,CZE,23
100,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1,MEN,2015-11-15,Adam ONDRA,30,CZE,22
101,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",1,MEN,2015-10-18,Adam ONDRA,30,CZE,22
102,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,10,MEN,2015-09-27,Adam ONDRA,30,CZE,22
103,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2,MEN,2015-08-22,Adam ONDRA,30,CZE,22
104,IFSC Climbing Worldcup (L) - Imst (AUT) 2015,4,MEN,2015-08-01,Adam ONDRA,30,CZE,22
105,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,7,MEN,2015-07-18,Adam ONDRA,30,CZE,22
106,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2,MEN,2015-07-12,Adam ONDRA,30,CZE,22
107,"European Championship (L,S) - Chamonix (FRA) 2015",2,MEN,2015-07-12,Adam ONDRA,30,CZE,22
108,IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1,MEN,2014-11-16,Adam ONDRA,30,CZE,21
109,IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,1,MEN,2014-10-26,Adam ONDRA,30,CZE,21
110,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",19,MEN,2014-10-19,Adam ONDRA,30,CZE,21
111,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",9,MEN,2014-10-12,Adam ONDRA,30,CZE,21
112,"IFSC Climbing World Championship (L, S) - Gijon (ESP) 2014",1,MEN,2014-09-14,Adam ONDRA,30,CZE,21
113,IFSC Climbing Worldcup (L) - Imst (AUT) 2014,1,MEN,2014-08-02,Adam ONDRA,30,CZE,21
114,IFSC Climbing Worldcup (L) - Briançon (FRA) 2014,8,MEN,2014-07-20,Adam ONDRA,30,CZE,21
115,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",27,MEN,2014-07-12,Adam ONDRA,30,CZE,21
116,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",9,MEN,2014-06-22,Adam ONDRA,30,CZE,21
117,IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2,MEN,2013-11-17,Adam ONDRA,30,CZE,20
118,IFSC Climbing Worldcup (L) - Valence (FRA) 2013,1,MEN,2013-11-02,Adam ONDRA,30,CZE,20
119,IFSC Climbing World Championship - Paris (FRA) 2012,3,MEN,2012-09-16,Adam ONDRA,30,CZE,19
120,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",5,MEN,2012-09-02,Adam ONDRA,30,CZE,19
121,Rockmaster Gala Duel - Arco (ITA) 2011,1,MEN,2011-07-24,Adam ONDRA,30,CZE,18
122,IFSC Climbing World Championships - Arco (ITA) 2011,3,MEN,2011-07-24,Adam ONDRA,30,CZE,18
123,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",17,MEN,2011-07-13,Adam ONDRA,30,CZE,18
124,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,2,MEN,2010-11-14,Adam ONDRA,30,CZE,17
125,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",8,MEN,2010-10-30,Adam ONDRA,30,CZE,17
126,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,3,MEN,2010-09-25,Adam ONDRA,30,CZE,17
127,European Championship - Imst/Innsbruck (AUT) 2010,2,MEN,2010-09-18,Adam ONDRA,30,CZE,17
128,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4,MEN,2010-08-30,Adam ONDRA,30,CZE,17
129,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",1,MEN,2010-08-21,Adam ONDRA,30,CZE,17
130,Rock Master - World Championship Pre-event - Arco (ITA),3,MEN,2010-07-18,Adam ONDRA,30,CZE,17
131,Rockmaster ARCO 2010 - Duel Lead,1,MEN,2010-07-18,Adam ONDRA,30,CZE,17
132,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",9,MEN,2010-07-13,Adam ONDRA,30,CZE,17
133,IFSC Climbing Worldcup (L) - Kranj (SLO) 2009,1,MEN,2009-11-15,Adam ONDRA,30,CZE,16
134,IFSC Climbing Worldcup (L) - Brno (CZE) 2009,11,MEN,2009-11-07,Adam ONDRA,30,CZE,16
135,IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,1,MEN,2009-09-26,Adam ONDRA,30,CZE,16
136,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2009,3,MEN,2009-09-06,Adam ONDRA,30,CZE,16
137,IFSC World Youth Championships - Valence (FRA) 2009,1,YOUTH A MALE,2009-08-30,Adam ONDRA,30,CZE,16
138,IFSC Climbing Worldcup (L) - Imst (AUT) 2009,1,MEN,2009-08-22,Adam ONDRA,30,CZE,16
139,IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,1,MEN,2009-08-09,Adam ONDRA,30,CZE,16
140,"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5,MEN,2009-07-13,Adam ONDRA,30,CZE,16
141,IFSC Climbing World Championships - Qinghai (CHN) 2009,2,MEN,2009-07-05,Adam ONDRA,30,CZE,16
142,IFSC European Youth Series (L) - Kranj (SLO) 2008,1,YOUTH B MALE,2008-11-23,Adam ONDRA,30,CZE,15
143,IFSC European Youth Series (L) - Annecy (FRA) 2008,1,YOUTH B MALE,2008-11-02,Adam ONDRA,30,CZE,15
144,IFSC European Youth Series (L) - Imst (AUT) 2008,1,YOUTH B MALE,2008-09-28,Adam ONDRA,30,CZE,15
145,IFSC Climbing World Youth Championship - Sydney (AUS) 2008,1,YOUTH B MALE,2008-08-31,Adam ONDRA,30,CZE,15
146,IFSC European Youth Series (L+S) - Wuppertal (GER) 2008,1,YOUTH B MALE,2008-06-22,Adam ONDRA,30,CZE,15
147,IFSC European Youth Series (L) - Prague (CZE) 2008,1,YOUTH B MALE,2008-05-18,Adam ONDRA,30,CZE,15
148,European Youth Series - Kranj (SLO) 2007,1,YOUTH B MALE,2007-11-25,Adam ONDRA,30,CZE,14
149,European Youth Series - Linz (AUT) 2007,1,YOUTH B MALE,2007-10-28,Adam ONDRA,30,CZE,14
150,IFSC Climbing World Youth Championship - Ibarra (ECU) 2007,1,YOUTH B MALE,2007-08-26,Adam ONDRA,30,CZE,14
151,European Youth Series - Warsaw (POL) 2007,1,YOUTH B MALE,2007-07-22,Adam ONDRA,30,CZE,14
152,European Youth Series - Leipzig (GER) 2007,1,YOUTH B MALE,2007-07-08,Adam ONDRA,30,CZE,14
153,European Youth Series - Veliko Tarnovo (BUL) 2007,1,YOUTH B MALE,2007-07-01,Adam ONDRA,30,CZE,14
154,European Youth Series - Imst (AUT) 2007,10,YOUTH B MALE,2007-05-20,Adam ONDRA,30,CZE,14
155,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,8,MEN RP1,2018-09-16,Adam PAYNE,52,USA,47
156,IFSC Paraclimbing World Championships - Paris (FRA) 2016,5,MEN RP1,2016-09-18,Adam PAYNE,52,USA,45
157,IFSC Paraclimbing World Championship - Gijon (ESP) 2014,6,MEN NEUROLOGICAL PHYSICAL DISABILITY B,2014-09-14,Adam PAYNE,52,USA,43
158,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",29,YOUTH A MALE,2021-08-31,Adam SHAHAR,18,USA,16
159,IFSC Youth World Championships - Innsbruck (AUT) - 2017,89,YOUTH A MALE,2017-09-10,Adam SZYMCZAK,23,POL,17
160,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",43,YOUTH B FEMALE,2023-07-02,Adela VANKOVA,15,CZE,15
161,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,29,YOUTH B FEMALE,2023-06-18,Adela VANKOVA,15,CZE,15
162,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",14,JUNIORS FEMALE,2021-08-31,Adelaide D'ADDARIO,20,ITA,18
163,"IFSC Europe - Continental Youth Cup (L,S) - Zilina (SVK) 2021",5,JUNIORS FEMALE,2021-07-31,Adelaide D'ADDARIO,20,ITA,18
164,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),6,JUNIORS FEMALE,2021-06-20,Adelaide D'ADDARIO,20,ITA,18
165,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",4,JUNIORS FEMALE,2021-06-13,Adelaide D'ADDARIO,20,ITA,18
166,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",16,JUNIORS FEMALE,2021-05-05,Adelaide D'ADDARIO,20,ITA,18
167,IFSC Youth World Championships - Arco (ITA) 2019,41,YOUTH A FEMALE,2019-08-31,Adelaide D'ADDARIO,20,ITA,16
168,European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,20,YOUTH A FEMALE,2019-06-30,Adelaide D'ADDARIO,20,ITA,16
169,European Youth Cup (L) - Ostermundigen (SUI) 2019,15,YOUTH A FEMALE,2019-06-23,Adelaide D'ADDARIO,20,ITA,16
170,IFSC Youth World Championships - Moscow (RUS) 2018,37,YOUTH B FEMALE,2018-08-16,Adelaide D'ADDARIO,20,ITA,15
171,European Youth Cup (L) - Munich (GER) 2018,14,YOUTH B FEMALE,2018-07-08,Adelaide D'ADDARIO,20,ITA,15
172,European Youth Cup (L) - Bruneck (ITA) 2018,27,YOUTH B FEMALE,2018-06-17,Adelaide D'ADDARIO,20,ITA,15
173,"European Youth Championship (L, S) - Imst 2018",18,YOUTH B FEMALE,2018-05-27,Adelaide D'ADDARIO,20,ITA,15
174,"European Youth Cup (L,S) - Voiron (FRA) 2018",11,YOUTH B FEMALE,2018-04-08,Adelaide D'ADDARIO,20,ITA,15
175,IFSC Youth World Championships - Innsbruck (AUT) - 2017,36,YOUTH B FEMALE,2017-09-10,Adelaide D'ADDARIO,20,ITA,14
176,European Youth Cup (L) - Mitterdorf (AUT) 2017,17,YOUTH B FEMALE,2017-08-13,Adelaide D'ADDARIO,20,ITA,14
177,European Youth Cup (L) - Dornbirn (AUT) 2017,19,YOUTH B FEMALE,2017-06-11,Adelaide D'ADDARIO,20,ITA,14
178,European Youth Cup (L) - Imst (AUT) 2017,25,YOUTH B FEMALE,2017-05-28,Adelaide D'ADDARIO,20,ITA,14
179,Asian Youth Championships - Chongqing (CHN) 2018,28,YOUTH B FEMALE,2018-11-04,Adeliya UTESHEVA,20,KAZ,15
180,IFSC Youth World Championships - Innsbruck (AUT) - 2017,83,YOUTH B FEMALE,2017-09-10,Adeliya UTESHEVA,20,KAZ,14
181,Asian Youth Championships - Singapore (SGP) 2017,15,YOUTH B FEMALE,2017-07-09,Adeliya UTESHEVA,20,KAZ,14
182,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",31,YOUTH A MALE,2022-07-10,Adi BARK,18,ISR,17
183,"IFSC Europe - Continental Youth Cup (L,S) - Zilina (SVK) 2021",23,YOUTH A MALE,2021-07-31,Adi BARK,18,ISR,16
184,European Youth Cup (L) - Ostermundigen (SUI) 2019,38,YOUTH B MALE,2019-06-23,Adi BARK,18,ISR,14
185,IFSC World Youth Championships - Guangzhou (CHN) - 2016,43,YOUTH A FEMALE,2016-11-13,Adi BER,24,ISR,17
186,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",33,YOUTH A FEMALE,2016-09-04,Adi BER,24,ISR,17
187,European Youth Cup (L) - Mitterdorf (AUT) 2015,26,YOUTH A FEMALE,2015-08-09,Adi BER,24,ISR,16
188,IFSC Youth World Championships - Innsbruck (AUT) - 2017,45,YOUTH A MALE,2017-09-10,Adi GUR,23,ISR,17
189,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,39,YOUTH A FEMALE,2023-09-16,Adi LEVY,16,ISR,16
190,World University Championships - Bratislava (SVK) 2018,33,MEN,2018-06-23,Adil Bin AZMOON,29,SGP,24
191,"IFSC Asia - Continental Youth Championships (B, S, L, B&amp;L) - Chongqing (CHN) 2023",18,JUNIORS MALE,2023-10-22,Aditya Shankar PILANE,18,IND,18
192,IFSC Youth World Championships Seoul 2023,63,JUNIORS MALE,2023-08-27,Adre ALFIYAN,18,SGP,18
193,IFSC World Youth Championships - Arco (ITA) - 2015,37,JUNIORS MALE,2015-09-06,Adrian CHMIALA,27,POL,19
194,European Youth Cup (L) - Mitterdorf (AUT) 2015,21,JUNIORS MALE,2015-08-09,Adrian CHMIALA,27,POL,19
195,European Youth Cup (L) - Imst (AUT) 2015,17,JUNIORS MALE,2015-05-31,Adrian CHMIALA,27,POL,19
196,"European Youth Championship (L,S) - Edinburgh 2014",6,JUNIORS MALE,2014-06-15,Adrian CHMIALA,27,POL,18
197,European Youth Cup (L) - Imst (AUT) 2014,14,JUNIORS MALE,2014-06-01,Adrian CHMIALA,27,POL,18
198,"European Youth Championship (L,S) - Imst (AUT) 2013",10,YOUTH A MALE,2013-07-28,Adrian CHMIALA,27,POL,17
199,"European Youth Cup (L, S) - Edinburgh (GBR) 2013",15,YOUTH A MALE,2013-06-09,Adrian CHMIALA,27,POL,17
200,European Youth Series - Annecy (France) 2010,27,YOUTH B MALE,2010-10-24,Adrian CHMIALA,27,POL,14
201,IFSC Europe - Continental Youth Cup (L) - Augsburg (GER) 2020,32,YOUTH B MALE,2020-09-18,Adrian GRBAC LACKOVIĆ,18,CRO,15
202,European Youth Cup (L) - Imst (AUT) 2016,38,YOUTH A MALE,2016-05-29,Adrian KIERAGA,23,POL,16
203,European Youth Cup (L) - Imst (AUT) 2015,43,YOUTH B MALE,2015-05-31,Adrian KIERAGA,23,POL,15
204,IFSC Youth World Championships Seoul 2023,57,YOUTH A FEMALE,2023-08-27,Adriana PINEDA,16,CHI,16
205,IFSC Paraclimbing World Championships Bern 2023,10,WOMEN B2,2023-08-10,Adriana TOFAN,27,ROU,27
206,IFSC Paraclimbing World Cup Villars 2023,10,WOMEN B3,2023-06-24,Adriana TOFAN,27,ROU,27
207,IFSC - Paraclimbing World Cup (L) - Villars (SUI) 2022,5,WOMEN B3,2022-07-09,Adriana TOFAN,27,ROU,26
208,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,14,YOUTH B MALE,2023-06-25,Adrien BREMOND POTEAU,14,FRA,14
209,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",4,YOUTH B MALE,2021-07-04,Adrien GSELL,16,FRA,14
210,IFSC World Cup Briançon 2023,53,MEN,2023-07-15,Adrien LEMAIRE,24,FRA,24
