,name,mean,std,cat,mean_norm,std_norm,slope
0,Abdul Rochman SYARIFAH.csv,33.142857142857146,14.62222704684631,WOMEN,0.8395455552629487,0.10360102812687354,4.00938122284367e-19
1,Abigail MAY.csv,41.666666666666664,6.022181221672648,WOMEN,0.9017217376461074,0.035671875398367414,-1.6541406926994527e-18
2,Adam ONDRA.csv,4.395833333333333,5.342481626461434,MEN,0.08940027060533469,0.148996116111242,-1.7253813688285737e-19
3,Adrian BAXTER.csv,42.266666666666666,11.547830140436815,MEN,0.7054730809264298,0.1704067497282662,-5.77479508248976e-20
4,Adrien LEMAIRE.csv,52.25,19.72596350913274,MEN,0.6101361020803505,0.16790667208991947,-1.9984269934486558e-18
5,Adrien TRIBOUT.csv,40.4,11.76010204037363,MEN,0.672577379814331,0.15814970191012112,-3.509356561058028e-19
6,Afra HÖNIG.csv,46.833333333333336,9.867454923467685,WOMEN,0.6833821449371827,0.1186889826315187,2.1778086554649992e-17
7,Agata MODRZEJEWSKA.csv,33.07692307692308,7.587945906299219,WOMEN,0.7962285385020844,0.13776919230606696,7.813906085402356e-19
8,Agung Ethi HENDRAWATI.csv,34.6,11.414902540100812,WOMEN,0.8152960652960652,0.15930483548600569,1.1899386852649934e-18
9,Ai MORI.csv,5.333333333333333,6.020797289396148,WOMEN,0.09353913000274652,0.1236613825465074,-9.206125783748353e-19
10,Aida TORRES ILLAMOLA.csv,56.42857142857143,12.380860805522138,WOMEN,0.8347270812769846,0.11065806552262461,-1.541039607643338e-18
11,Aika TAJIMA.csv,11.857142857142858,5.520524474738834,WOMEN,0.411099129478094,0.28951977211481533,-2.4721712712578543e-18
12,Aki TANAKA.csv,24.8,8.105553651663778,WOMEN,0.7840704142878054,0.14354567651869768,4.435114401272736e-18
13,Akito MATSUSHIMA.csv,16.833333333333332,12.929479052592512,MEN,0.334810902643637,0.18968495713674444,-9.951161398905516e-19
14,Akiyo NOGUCHI.csv,7.137931034482759,4.354663867472332,WOMEN,0.2016414702141849,0.15165780144872743,-5.190326751961525e-19
15,Alannah YIP.csv,36.958333333333336,11.987236569773291,WOMEN,0.5455222890602667,0.15266747251139,-6.369549472076425e-19
16,Alban LEVIER.csv,29.8,12.676750372236569,MEN,0.35030403399545973,0.12283462615640253,8.465913833962455e-19
17,Alberto GINÉS LÓPEZ.csv,13.470588235294118,13.500544651322512,MEN,0.1730809080276376,0.15351079016224164,7.697145723114723e-19
18,Alberto GNERRO.csv,23.72,11.851582172857766,MEN,0.402508151510648,0.19146673576648848,2.47858553545964e-18
19,Alberto GOTTA.csv,32.15,14.506894912420094,MEN,0.47889887286904925,0.17273823472360078,3.567708917484055e-19
20,Aleksandr SHIKOV.csv,59.625,18.837178284294218,MEN,0.7858115190321853,0.15788047250294812,-7.717536215943962e-19
21,Aleksandra KALUCKA.csv,64.77777777777777,14.754472015102555,WOMEN,0.8963317379869297,0.11545322008285015,-3.4203059521783853e-19
22,Aleksandra TOTKOVA.csv,16.333333333333332,9.528267354974817,WOMEN,0.23070289245171383,0.12902901540102413,3.6013517888649404e-18
23,Aleksei SHCHERVIANIN.csv,53.5,17.784200228792347,MEN,0.6718783080072349,0.17835009621548653,-3.6801849990716366e-20
24,Aleksey RUBTSOV.csv,29.0,11.250396818398388,MEN,0.3930830594269811,0.16844791596059516,3.7871320062368913e-19
25,Alessandro FIORI.csv,30.8,5.403702434442518,MEN,0.6113854887197367,0.07671806198177371,4.989971345184847e-18
26,Alessandro ZENI.csv,60.8,8.07465169527454,MEN,0.732446360329603,0.08346786894695524,-6.922691529483445e-19
27,Alex KHAZANOV.csv,47.36363636363637,13.727874761030764,MEN,0.553509032848171,0.16605792709417092,-5.664977156791377e-19
28,Alex WATERHOUSE.csv,45.666666666666664,25.152865973217974,MEN,0.601349197143941,0.11240289812213065,-1.2008944699255638e-17
29,Alexander KALINA.csv,17.375,3.814914340921881,MEN,0.37079779676073277,0.12214796911352824,1.6035096973333116e-19
30,Alexander MEGOS.csv,8.423076923076923,7.338517980753753,MEN,0.10996580537772932,0.10249117020982469,-4.740985087871795e-19
31,Alexander SHOPRIN.csv,32.57142857142857,22.051886864522825,MEN,0.5250829970885295,0.27830511323953455,-3.513371656325505e-18
32,Alexandra EYER.csv,12.097560975609756,6.95773795385452,WOMEN,0.32365662633290787,0.1904478564574367,
33,Alexandre CHABOT.csv,4.469387755102041,5.834888033831234,MEN,0.09615697204894674,0.13753117055120886,
34,Alexei ZEMSKI.csv,30.2,12.437845472588892,MEN,0.5437603654739758,0.20310872411832276,-2.7064833845781315e-18
35,Alexey MOLCHANOV.csv,70.2,42.32847741178508,MEN,0.9407780929813725,0.06631889561956408,2.0304942499384875e-19
36,Alfian MUHAMMAD FAJRI.csv,64.4,33.17077026540083,MEN,0.899100543842812,0.07137459375659919,3.944886472148012e-18
37,Alina RING.csv,22.90909090909091,7.46263419248921,WOMEN,0.48377238155583446,0.21909922664817566,-4.466046787249805e-18
38,Alison STEWART-PATTERSON.csv,49.5,11.148990985734986,WOMEN,0.9313806578840245,0.08172337022201204,-7.69397887187857e-19
39,Alistair DUVAL.csv,47.9,23.675819826237156,MEN,0.583056359358498,0.24807881192637551,6.324247912139425e-19
40,Alix GRAFTIAUX.csv,22.545454545454547,7.594256202731592,WOMEN,0.6074131660941936,0.14598462588809713,-3.749909311113781e-19
41,Aliya ISKAKOVA.csv,47.75,14.713938969562161,WOMEN,0.9545950553815554,0.061015878540690474,-9.033765345969413e-20
